TX_DESCR_NL,TOTAL,OPPERVLAKKTE IN HM²,Area_KM2,Density
Sint-Joost-ten-Node,27258,116.06086432025381,1.1606086432025382,23485.952960668412
Koekelberg,22979,118.19270046060807,1.1819270046060806,19441.97899739043
Sint-Gillis,48827,253.38058299393185,2.5338058299393187,19270.221665394678
Schaarbeek,129775,790.1300710867589,7.901300710867589,16424.510944318972
Sint-Jans-Molenbeek,98713,601.5629419363828,6.015629419363828,16409.421711093237
Etterbeek,49131,317.42184596747427,3.1742184596747425,15478.140721616994
Elsene,89897,641.1172375109531,6.4111723751095315,14021.928399400455
Ganshoren,25693,243.76673475105372,2.437667347510537,10539.994321308412
Jette,54390,518.9391383530276,5.189391383530276,10480.997862797389
Vorst,58675,629.2052665365316,6.292052665365316,9325.255702797482
Evere,45892,512.4787402349123,5.1247874023491224,8954.908057056928
Sint-Agatha-Berchem,25803,295.0083207052124,2.9500832070521237,8746.532958229234
Sint-Lambrechts-Woluwe,60956,729.3573676284786,7.293573676284787,8357.494241567718
Anderlecht,128724,1791.410159000202,17.91410159000202,7185.624093582328
Brussel,198314,3308.6346511660286,33.08634651166029,5993.831924903228
Sint-Pieters-Woluwe,42549,894.4284109502399,8.9442841095024,4757.116330282485
Oudergem,35698,896.5749899328302,8.965749899328303,3981.596676333167
Ukkel,87194,2287.4841280581313,22.874841280581315,3811.7860111239274
Saint-Nicolas,24517,690.5653749162749,6.905653749162749,3550.279363915759
Mortsel,26736,778.4337611491809,7.784337611491809,3434.588957258272
Luik,197323,6865.018690052395,68.65018690052395,2874.325750721212
Antwerpen,562002,20821.785572627043,208.21785572627041,2699.105694080459
Edegem,23502,871.7327987876039,8.71732798787604,2696.0096066921324
Boom,19699,738.1616614727444,7.381616614727444,2668.656613877441
Drogenbos,6040,249.59817745170628,2.495981774517063,2419.8894646050267
Kraainem,13940,583.5771694106783,5.835771694106783,2388.7157912769653
Hemiksem,12428,548.0440625380933,5.480440625380933,2267.7008747150066
Vilvoorde,48040,2157.328870412566,21.573288704125662,2226.8278452516543
Wezembeek-Oppem,14760,686.3912885508247,6.863912885508247,2150.376941869809
Wemmel,18292,877.2891714287772,8.772891714287772,2085.0593619215824
Niel,11032,534.6412868072352,5.346412868072353,2063.439594401841
Charleroi,205763,10294.765655366973,102.94765655366973,1998.714753577023
Watermaal-Bosvoorde,25327,1296.803496497239,12.96803496497239,1953.0329821295268
Seraing,64609,3524.575252717773,35.24575252717773,1833.100313298191
Leuven,104906,5750.800403227294,57.508004032272936,1824.198244493545
Oostende,72817,4126.076563296177,41.260765632961764,1764.800019654242
Herstal,40834,2335.8425288743024,23.358425288743025,1748.1486656413806
Gent,272657,15777.061100465298,157.77061100465298,1728.1862462455622
Verviers,56127,3300.789177499087,33.007891774990874,1700.4115374168127
Quaregnon,19022,1120.9230260899812,11.209230260899812,1696.9943124777085
Beyne-Heusay,11977,728.5288325147538,7.285288325147539,1643.9980774209712
Denderleeuw,21257,1386.4918246944212,13.864918246944212,1533.1500425316233
Colfontaine,20813,1374.5683078466327,13.745683078466326,1514.1481060774033
Lint,8499,565.0633583406241,5.650633583406241,1504.079122199381
Moeskroen,60304,4062.3055333116536,40.62305533311653,1484.4772138751282
Machelen,16784,1150.0894728603412,11.500894728603411,1459.3647186646435
Waterloo,30389,2132.4185884294984,21.324185884294984,1425.0954369320682
Kuurne,14244,1011.2296494837459,10.112296494837459,1408.5821165619366
Liedekerke,14155,1017.466010423724,10.17466010423724,1391.201264217676
Hove,8366,601.7998048775185,6.017998048775184,1390.1632955335858
Aartselaar,15093,1101.8954633953251,11.018954633953252,1369.730659702799
Mechelen,89655,6578.713303482494,65.78713303482493,1362.8044856817278
Wijnegem,10650,788.4348977608868,7.884348977608868,1350.777347659957
Zaventem,37271,2772.0480033506988,27.720480033506988,1344.529386033318
Châtelet,35979,2734.5894483470706,27.345894483470705,1315.7002423799886
Rixensart,23052,1755.9971569428576,17.559971569428576,1312.7583896623667
Bredene,18196,1431.0494597423915,14.310494597423915,1271.5144033718814
La Louvière,81674,6455.734119702977,64.55734119702977,1265.1388437874166
Ans,29110,2334.6345243778046,23.346345243778046,1246.8761039913948
Manage,24202,1943.067268532923,19.43067268532923,1245.5564659000854
Fléron,16374,1368.3670476197776,13.683670476197776,1196.6087628668017
Schoten,34926,2951.023249275666,29.510232492756657,1183.5216821342447
Aalst,92131,7865.608165410218,78.65608165410218,1171.31438615459
Izegem,29427,2563.511646183945,25.63511646183945,1147.9175467685184
Schelle,8682,782.5535501399186,7.825535501399186,1109.4448422664086
Linkebeek,4646,418.9076851611894,4.189076851611894,1109.0749023170317
Roeselare,66888,6039.634944682991,60.39634944682991,1107.484154466737
Farciennes,11471,1036.6847096283975,10.366847096283974,1106.5080726532383
Dison,15226,1397.173298189663,13.97173298189663,1089.7717569988306
Blankenberge,20654,1900.4757622562158,19.00475762256216,1086.780500451102
Dilbeek,45069,4147.800501139095,41.47800501139095,1086.5758849207639
Willebroek,28620,2736.5746528615346,27.365746528615347,1045.832971158785
Wommelgem,13564,1299.3627331156558,12.993627331156558,1043.8963388980521
Menen,34585,3316.30411528661,33.1630411528661,1042.8778181282994
Grimbergen,40062,3866.9695536243753,38.66969553624375,1036.005053684772
Harelbeke,30311,2939.7872280159027,29.397872280159028,1031.061013910767
Boussu,20401,2007.610306425022,20.07610306425022,1016.183266977162
Kortrijk,80776,8069.313596121048,80.69313596121049,1001.0269031907416
Vosselaar,11816,1183.2711004753658,11.832711004753657,998.5877281421863
Brasschaat,38416,3857.998452242428,38.579984522424276,995.7494922702998
Zelzate,13653,1376.7792146816523,13.767792146816523,991.6622690412227
Sint-Niklaas,82661,8419.775733817683,84.19775733817683,981.7482390652698
Halle,42884,4498.201717824681,44.98201717824681,953.3587573466714
Ottignies-Louvain-la-Neuve,31766,3340.451637871376,33.40451637871376,950.9492560785025
Morlanwelz,19113,2037.7494004847326,20.377494004847325,937.9465402101686
Kontich,21801,2380.048949959828,23.800489499598278,915.989564011613
Waregem,40436,4450.010685078886,44.50010685078886,908.6719754535418
Sint-Pieters-Leeuw,36732,4066.7478376150693,40.66747837615069,903.2278731484213
Stabroek,18970,2142.219088234193,21.42219088234193,885.5303411396991
Tubeke,28716,3277.1432294801693,32.77143229480169,876.250990242957
Beersel,26593,3040.1351408849223,30.401351408849223,874.73085134825
Brugge,120283,14119.22290765603,141.1922290765603,851.9094909591487
Turnhout,47965,5671.1568041651335,56.71156804165133,845.7710068036297
Waver,35581,4211.3576901104125,42.113576901104125,844.8819268796697
Dendermonde,47539,5648.620378161062,56.48620378161062,841.603733608959
Sambreville,28638,3427.0822087214246,34.27082208721425,835.6379641877414
Frameries,21630,2609.1553760374945,26.091553760374946,829.003906729745
Chapelle-lez-Herlaimont,15030,1820.629200871629,18.20629200871629,825.5387748809238
Sint-Genesius-Rode,18700,2275.049857082577,22.75049857082577,821.9600085591113
Wevelgem,31940,3913.8418967335965,39.138418967335966,816.0779316777307
Chaudfontaine,20523,2545.7398008229175,25.457398008229173,806.170371118285
Duffel,18100,2259.827920441774,22.59827920441774,800.9459408954302
Ronse,27577,3469.994951808216,34.69994951808216,794.7273809614511
Temse,31613,4009.634047654126,40.09634047654126,788.426066426074
Eigenbrakel,40756,5232.132385945453,52.32132385945453,778.9558251522594
Rumst,15692,2015.0385541281637,20.150385541281636,778.7444050562783
Genk,68058,8757.109966366033,87.57109966366033,777.1742077168668
Lier,38517,4985.308859164798,49.85308859164798,772.610104771981
Affligem,13770,1792.1883434040667,17.921883434040666,768.3344248208525
Anderlues,12955,1719.5820056569985,17.195820056569985,753.3807609861734
Opwijk,15006,1991.928239282954,19.91928239282954,753.3403916901041
Kapellen,27976,3722.2621752327545,37.22262175232755,751.5859625941218
Deerlijk,12690,1697.3054269117843,16.973054269117842,747.6556545918327
Eeklo,22733,3044.8887047937596,30.448887047937596,746.5954326741075
Leopoldsburg,16858,2259.69423861001,22.5969423861001,746.0301359342202
Lebbeke,20298,2733.9321049945597,27.339321049945596,742.4471135518704
Flémalle,27045,3656.77545057864,36.567754505786404,739.5860195823743
Wetteren,26926,3701.8177197015725,37.018177197015724,727.3723894263135
Keerbergen,13355,1854.2547591020727,18.54254759102073,720.2354441558607
Oupeye,25846,3608.969173395287,36.08969173395287,716.1601764440761
Destelbergen,19088,2670.5032287676004,26.705032287676005,714.7716503158412
Asse,35882,5022.136080519487,50.22136080519487,714.4768565547986
Merelbeke-Melle,37369,5234.013730146031,52.34013730146031,713.9645007954038
Boortmeerbeek,13400,1877.2066759212748,18.77206675921275,713.8265685862051
Courcelles,31436,4452.515001132864,44.52515001132864,706.027941332071
Ingelmunster,11597,1642.6804518167198,16.4268045181672,705.9802767588983
Herent,23081,3273.5718808111224,32.73571880811122,705.0708168436801
Tremelo,15418,2189.0473375793595,21.890473375793594,704.3246500575528
Tervuren,23246,3361.952322725121,33.619523227251214,691.443475949038
Grâce-Hollogne,23416,3417.233675950535,34.17233675950535,685.2326244118095
Boechout,14084,2070.7981807110805,20.707981807110805,680.1242212393565
Ternat,16691,2471.0017898319297,24.710017898319297,675.4750267151879
Montigny-le-Tilleul,10170,1523.036475117444,15.230364751174442,667.7450058584955
Hasselt,90249,13667.446935117412,136.6744693511741,660.3208370109886
Bergen,97120,14755.865547866646,147.55865547866645,658.1789437220868
Heusden-Zolder,34985,5340.112519800956,53.40112519800956,655.1360082821627
Namen,115029,17592.714206410812,175.92714206410812,653.844532744602
Wezet,18110,2772.782405042656,27.727824050426563,653.1345541959827
Lede,19425,2989.1579224334773,29.891579224334773,649.8485695324549
Zele,21521,3327.7499566588112,33.27749956658811,646.7132531077518
Haaltert,19517,3051.915393034576,30.51915393034576,639.5000347828741
Kapelle-op-den-Bos,9806,1536.708713201849,15.36708713201849,638.1170299717021
Soumagne,17265,2719.286939701139,27.192869397011393,634.9090913479507
Hamme,25706,4053.341387710585,40.53341387710585,634.1928187430397
Kelmis,11338,1803.9072785459693,18.039072785459695,628.5245441849394
Fontaine-l’Evêque,17985,2866.032685249208,28.66032685249208,627.52250149011
Beringen,48755,7856.145848074459,78.56145848074459,620.5969306431582
Kortenberg,21386,3470.2681492577794,34.702681492577796,616.2636165327465
Erpe-Mere,21117,3441.286142585414,34.41286142585414,613.6368533462012
Hulshout,10634,1737.8823656601123,17.378823656601124,611.8941195401802
Sint-Katelijne-Waver,21917,3615.5496031296643,36.15549603129664,606.1872303184107
