FID,the_geom,code,timestamp,precip_quantity,temp_avg,temp_max,temp_min,temp_grass_pt100_avg,temp_soil_avg,temp_soil_avg_5cm,temp_soil_avg_10cm,temp_soil_avg_20cm,temp_soil_avg_50cm,wind_speed_10m,wind_speed_avg_30m,wind_gusts_speed,humidity_rel_shelter_avg,pressure,sun_duration,short_wave_from_sky_avg,sun_int_avg,qc_flags
aws_1day.fid--65986ded_19d21fbe95f_28e4,POINT (49.62 5.587),6484,2019-08-01T00:00:00,0.0,17.08,24.43,8.78,29.56,23.39,22.85,21.6,21.18,20.17,1.83,,7.33,72.41,979.96,423.0,239.23,116.69,"{""validated"":{""PRECIP_QUANTITY"":false,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":false,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":false,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28f0,POINT (50.98 3.816),6434,2019-08-01T00:00:00,0.0,18.47,23.38,13.39,22.59,20.04,19.56,19.43,19.39,19.67,2.54,3.4,8.09,76.56,1015.26,636.0,199.3,221.14,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28ef,POINT (51.325 4.364),6438,2019-08-01T00:00:00,0.0,18.74,22.77,14.26,20.16,22.71,21.82,21.54,20.24,21.25,3.37,,8.71,78.15,1016.43,494.42,176.6,178.64,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28ee,POINT (50.511 6.073),6494,2019-08-01T00:00:00,0.0,14.45,19.33,8.91,,16.87,15.81,15.87,15.84,15.55,2.29,,8.18,79.26,939.86,,170.96,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":false,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":true,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":true}}"
aws_1day.fid--65986ded_19d21fbe95f_28ec,POINT (51.075 4.525),6439,2019-08-01T00:00:00,0.0,19.07,23.25,14.12,20.66,22.63,21.7,21.44,20.99,20.66,2.32,,7.33,75.05,1015.96,449.83,189.75,162.2,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":false,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28eb,POINT (50.904 3.122),6414,2019-08-01T00:00:00,0.0,18.41,23.34,13.64,18.33,21.26,20.95,20.79,20.18,19.71,2.95,,7.92,79.5,1014.23,602.5,199.59,224.7,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28ed,POINT (51.221 5.027),6464,2019-08-01T00:00:00,0.0,18.36,22.98,12.8,19.06,22.49,21.47,21.35,21.07,20.18,1.59,,6.45,76.05,1014.52,392.42,189.44,151.5,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28e9,POINT (50.194 5.255),6472,2019-08-01T00:00:00,0.0,17.66,21.91,11.66,19.2,19.54,18.15,18.21,18.19,18.53,2.12,2.88,8.46,65.65,983.72,263.0,149.15,91.53,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28e8,POINT (51.348 3.202),6418,2019-08-01T00:00:00,0.0,18.75,21.22,15.44,,,,,,,4.93,,9.78,80.22,1015.42,521.08,,199.43,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":false,""TEMP_SOIL_AVG"":false,""TEMP_SOIL_AVG_5CM"":false,""TEMP_SOIL_AVG_10CM"":false,""TEMP_SOIL_AVG_20CM"":false,""TEMP_SOIL_AVG_50CM"":false,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28e7,POINT (50.916 5.45),6477,2019-08-01T00:00:00,0.1,18.77,24.8,12.57,19.88,22.83,21.87,21.11,18.52,19.69,2.3,,10.59,74.63,1012.52,567.75,229.81,188.46,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_28e6,POINT (50.096 4.595),6455,2019-08-01T00:00:00,0.0,19.24,25.02,14.52,21.67,25.2,21.27,20.93,20.64,19.75,1.73,,7.5,65.35,989.18,435.91,190.45,141.23,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
