year,month,hour,municipality_fr,municipality_nl,province_fr,region_fr,latitude,longitude,nis_code,weather_fr,weather_nl,road_condition_fr,road_condition_nl,light_condition_fr,build_up_area_fr,road_type_fr,severity_fr,road_user1_fr,road_user2_fr,collision_type_fr,at_crossway
2019,08,14,Anvers,Antwerpen,Province d’Anvers,Région flamande,51.19996,4.436284,11002,Normales,Normaal,Sec,Droog,Jour,Hors agglomération,Autoroute,Avec blessé(s) leger(s),Motocyclette,Voiture,Entre 2 conducteurs: Flanc contre flanc,0
2019,08,18,Machelen,Machelen,Province du Brabant flamand,Région flamande,50.907847,4.448908,23047,Normales,Normaal,Sec,Droog,Jour,Hors agglomération,Autoroute,Avec blessé(s) leger(s),Motocyclette,Camion,Entre 2 conducteurs: Par l'arrière,0
2019,08,17,Hoeilaart,Hoeilaart,Province du Brabant flamand,Région flamande,50.761582,4.439201,23033,Normales,Normaal,Sec,Droog,Jour,Hors agglomération,Autoroute,Avec blessé(s) leger(s),Motocyclette,Voiture,Entre 2 conducteurs: Par l'arrière,0
2019,08,21,Charleroi,Charleroi,Province de Hainaut,Région wallonne,50.403946,4.366098,52011,Normales,Normaal,Sec,Droog,Jour,Hors agglomération,Route régionale,Avec blessé(s) leger(s),Voiture,Motocyclette,Entre 2 conducteurs: Flanc contre flanc,0
2019,08,18,Forest,Vorst,,Région de Bruxelles-Capitale,50.821389,4.342135,21007,Normales,Normaal,Propre,Proper,Jour,En agglomération,Route régionale,Avec blessé(s) leger(s),Voiture,Motocyclette,Entre 2 conducteurs: Par le côté (avant/derrière-flanc),1
2019,08,13,Anderlecht,Anderlecht,,Région de Bruxelles-Capitale,50.839831,4.325121,21001,"Inconnues, indéterminées",Onbekend,"Inconnu, indéterminé",Onbekend,Jour,inconnu,Route régionale,Avec blessé(s) leger(s),Bicyclette,Voiture,Entre 2 conducteurs: Par le côté (avant/derrière-flanc),1
2019,08,19,Anderlecht,Anderlecht,,Région de Bruxelles-Capitale,,,21001,Normales,Normaal,Propre,Proper,Jour,En agglomération,Route régionale,Avec blessé(s) leger(s),Voiture,Motocyclette,Entre 2 conducteurs: Par le côté (avant/derrière-flanc),0
2019,08,22,Bruxelles,Brussel,,Région de Bruxelles-Capitale,,,21004,"Inconnues, indéterminées",Onbekend,"Inconnu, indéterminé",Onbekend,"Aube, crépuscule",En agglomération,Route communale,Avec blessé(s) leger(s),Voiture,Bicyclette,Entre 2 conducteurs: Par le côté (avant/derrière-flanc),0
2019,08,19,Saint-Gilles,Sint-Gillis,,Région de Bruxelles-Capitale,50.822464,4.346709,21013,Normales,Normaal,Sec+Propre,Droog+Proper,Jour,En agglomération,Route régionale,Avec blessé(s) leger(s),Cyclomoteur,Voiture,Entre 2 conducteurs: Flanc contre flanc,0
2019,08,17,Saint-Gilles,Sint-Gillis,,Région de Bruxelles-Capitale,50.832752,4.342901,21013,Normales,Normaal,Propre,Proper,Jour,En agglomération,Route communale,Avec blessé(s) leger(s),Voiture,Bicyclette,Entre 2 conducteurs: Flanc contre flanc,1
