site_id,site_location,site_lat,site_lon,site_district,direction_in,direction_out,route_id,route_short_name,route_long_name,route_type,route_type_name,route_url,nearest_stop_id,nearest_stop_name,nearest_stop_lat,nearest_stop_lon,distance_km
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32200,R20,Zaventem Brussels Airport - Vilvoorde - Jette UZ,3,Bus,https://www.delijn.be/nl/lijnen/3220/?richtingCode=0,303590,Machelen Heirbaan,50.91817,4.44833,0.589
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32251,25,(Nederokkerzeel) -Kortenberg - Steenokkerzeel - Vilvoorde -,3,Bus,https://www.delijn.be/nl/lijnen/3225/?richtingCode=1,303590,Machelen Heirbaan,50.91817,4.44833,0.589
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32210,21,Zaventem Brussels Airport -Vilvoorde - Grimbergen - Merchtem,3,Bus,https://www.delijn.be/nl/lijnen/3221/?richtingCode=0,303590,Machelen Heirbaan,50.91817,4.44833,0.589
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32211,21,Merchtem - Grimbergen - Vilvoorde -Zaventem Brussels Airport,3,Bus,https://www.delijn.be/nl/lijnen/3221/?richtingCode=1,303589,Machelen Heirbaan,50.918,4.44801,0.603
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32250,25,Vilvoorde - Steenokkerzeel - Kortenberg - (Nederokkerzeel),3,Bus,https://www.delijn.be/nl/lijnen/3225/?richtingCode=0,303589,Machelen Heirbaan,50.918,4.44801,0.603
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32201,R20,Jette UZ - Vilvoorde - Zaventem Brussels Airport,3,Bus,https://www.delijn.be/nl/lijnen/3220/?richtingCode=1,303589,Machelen Heirbaan,50.918,4.44801,0.603
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,35380,538,Vilvoorde - Diegem Lo - Zaventem Atheneum,3,Bus,https://www.delijn.be/nl/lijnen/3538/?richtingCode=0,306392,Machelen Kwekerijstraat,50.91709,4.4475,0.613
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,35381,538,Zaventem Atheneum - Diegem Lo - Vilvoorde,3,Bus,https://www.delijn.be/nl/lijnen/3538/?richtingCode=1,306393,Machelen Kwekerijstraat,50.91748,4.44713,0.647
1,Machelen,50.91618331151478,4.456121776137429,Machelen,Machelen Cyclists rich. Brucargo,Machelen Cyclists richting Machelen,32271,R27,Keerbergen - Haacht - Brussel Noord,3,Bus,https://www.delijn.be/nl/lijnen/3227/?richtingCode=1,310538,Machelen Cargo 758,50.90872,4.4554,0.831
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16400,64,Loenhout - Wuustwezel - Brasschaat - Antwerpen,3,Bus,https://www.delijn.be/nl/lijnen/1640/?richtingCode=0,105727,Brasschaat Voshollei,51.27566,4.47237,0.076
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16420,642,Maria ter Heide - Antwerpen via Miksebaan,3,Bus,https://www.delijn.be/nl/lijnen/1642/?richtingCode=0,105727,Brasschaat Voshollei,51.27566,4.47237,0.076
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16421,642,Antwerpen - Maria ter Heide via Miksebaan,3,Bus,https://www.delijn.be/nl/lijnen/1642/?richtingCode=1,105728,Brasschaat Voshollei,51.27634,4.47357,0.188
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16401,64,Antwerpen - Brasschaat - Wuustwezel - Loenhout,3,Bus,https://www.delijn.be/nl/lijnen/1640/?richtingCode=1,105728,Brasschaat Voshollei,51.27634,4.47357,0.188
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16451,645,scholen Brasschaat - Wuustwezel - Loenhout,3,Bus,https://www.delijn.be/nl/lijnen/1645/?richtingCode=1,105728,Brasschaat Voshollei,51.27634,4.47357,0.188
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16701,67,(Merksem) - Kapellen - Essen,3,Bus,https://www.delijn.be/nl/lijnen/1670/?richtingCode=1,108780,Brasschaat Sint-Michielscollege,51.27207,4.45849,0.979
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16501,65,Merksem Zwaantjeslei - Kapellen,3,Bus,https://www.delijn.be/nl/lijnen/1650/?richtingCode=1,108780,Brasschaat Sint-Michielscollege,51.27207,4.45849,0.979
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16591,659,Ekeren-Donk - Hoogstraten,3,Bus,https://www.delijn.be/nl/lijnen/1659/?richtingCode=1,108780,Brasschaat Sint-Michielscollege,51.27207,4.45849,0.979
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16700,67,Essen - Kapellen - (Merksem),3,Bus,https://www.delijn.be/nl/lijnen/1670/?richtingCode=0,108775,Ekeren Sint-Michielscollege,51.27215,4.45813,0.999
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16590,659,Hoogstraten - Ekeren-Donk,3,Bus,https://www.delijn.be/nl/lijnen/1659/?richtingCode=0,108775,Ekeren Sint-Michielscollege,51.27215,4.45813,0.999
2,Brasschaat 2,51.27512,4.47169,Brasschaat,Brasschaat 2 Fietsers rich Merksem,Brasschaat 2 Fietsers rich Brasschaat,16500,65,Kapellen - Merksem Zwaantjeslei,3,Bus,https://www.delijn.be/nl/lijnen/1650/?richtingCode=0,108775,Ekeren Sint-Michielscollege,51.27215,4.45813,0.999
3,Brasschaat 1,51.27503,4.47222,Brasschaat,Brasschaat 1 Fietsers rich Merksem,Brasschaat 1 Fietsers rich Brasschaat,16400,64,Loenhout - Wuustwezel - Brasschaat - Antwerpen,3,Bus,https://www.delijn.be/nl/lijnen/1640/?richtingCode=0,105727,Brasschaat Voshollei,51.27566,4.47237,0.071
