site_id,datehour,nb_knn5_lag1_mean,nb_knn5_lag1_max,nb_knn5_lag1_sum,nb_knn5_lag1_std,nb_r200m_lag1_mean,nb_r200m_lag1_max,nb_r200m_lag1_sum,nb_r200m_lag1_std,nb_r200m_count,nb_r5000m_lag1_mean,nb_r5000m_lag1_max,nb_r5000m_lag1_sum,nb_r5000m_lag1_std,nb_r5000m_count,nb_r10000m_lag1_mean,nb_r10000m_lag1_max,nb_r10000m_lag1_sum,nb_r10000m_lag1_std,nb_r10000m_count
2,8/1/2019 0:00,,,0,,,,0,,1,,,0,,1,,,0,,1
2,8/1/2019 1:00,3,3,3,,3,3,3,,1,3,3,3,,1,3,3,3,,1
2,8/1/2019 2:00,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,0,,1
2,8/1/2019 3:00,3,3,3,,3,3,3,,1,3,3,3,,1,3,3,3,,1
2,8/1/2019 4:00,2,2,2,,2,2,2,,1,2,2,2,,1,2,2,2,,1
2,8/1/2019 5:00,3,3,3,,3,3,3,,1,3,3,3,,1,3,3,3,,1
2,8/1/2019 6:00,11,11,11,,11,11,11,,1,11,11,11,,1,11,11,11,,1
2,8/1/2019 7:00,15,15,15,,15,15,15,,1,15,15,15,,1,15,15,15,,1
2,8/1/2019 8:00,42,42,42,,42,42,42,,1,42,42,42,,1,42,42,42,,1
2,8/1/2019 9:00,36,36,36,,36,36,36,,1,36,36,36,,1,36,36,36,,1
2,8/1/2019 10:00,21,21,21,,21,21,21,,1,21,21,21,,1,21,21,21,,1
2,8/1/2019 11:00,16,16,16,,16,16,16,,1,16,16,16,,1,16,16,16,,1
2,8/1/2019 12:00,63,63,63,,63,63,63,,1,63,63,63,,1,63,63,63,,1
2,8/1/2019 13:00,31,31,31,,31,31,31,,1,31,31,31,,1,31,31,31,,1
2,8/1/2019 14:00,25,25,25,,25,25,25,,1,25,25,25,,1,25,25,25,,1
2,8/1/2019 15:00,30,30,30,,30,30,30,,1,30,30,30,,1,30,30,30,,1
2,8/1/2019 16:00,59,59,59,,59,59,59,,1,59,59,59,,1,59,59,59,,1
2,8/1/2019 17:00,81,81,81,,81,81,81,,1,81,81,81,,1,81,81,81,,1
2,8/1/2019 18:00,99,99,99,,99,99,99,,1,99,99,99,,1,99,99,99,,1
2,8/1/2019 19:00,61,61,61,,61,61,61,,1,61,61,61,,1,61,61,61,,1
2,8/1/2019 20:00,31,31,31,,31,31,31,,1,31,31,31,,1,31,31,31,,1
2,8/1/2019 21:00,12,12,12,,12,12,12,,1,12,12,12,,1,12,12,12,,1
2,8/1/2019 22:00,8,8,8,,8,8,8,,1,8,8,8,,1,8,8,8,,1
2,8/1/2019 23:00,14,14,14,,14,14,14,,1,14,14,14,,1,14,14,14,,1
2,8/2/2019 0:00,2,2,2,,2,2,2,,1,2,2,2,,1,2,2,2,,1
2,8/2/2019 1:00,4,4,4,,4,4,4,,1,4,4,4,,1,4,4,4,,1
2,8/2/2019 2:00,3,3,3,,3,3,3,,1,3,3,3,,1,3,3,3,,1
2,8/2/2019 3:00,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,0,,1
2,8/2/2019 4:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/2/2019 5:00,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,0,,1
2,8/2/2019 6:00,10,10,10,,10,10,10,,1,10,10,10,,1,10,10,10,,1
2,8/2/2019 7:00,16,16,16,,16,16,16,,1,16,16,16,,1,16,16,16,,1
2,8/2/2019 8:00,44,44,44,,44,44,44,,1,44,44,44,,1,44,44,44,,1
2,8/2/2019 9:00,32,32,32,,32,32,32,,1,32,32,32,,1,32,32,32,,1
2,8/2/2019 10:00,13,13,13,,13,13,13,,1,13,13,13,,1,13,13,13,,1
2,8/2/2019 11:00,19,19,19,,19,19,19,,1,19,19,19,,1,19,19,19,,1
2,8/2/2019 12:00,28,28,28,,28,28,28,,1,28,28,28,,1,28,28,28,,1
2,8/2/2019 13:00,28,28,28,,28,28,28,,1,28,28,28,,1,28,28,28,,1
2,8/2/2019 14:00,14,14,14,,14,14,14,,1,14,14,14,,1,14,14,14,,1
2,8/2/2019 15:00,18,18,18,,18,18,18,,1,18,18,18,,1,18,18,18,,1
2,8/2/2019 16:00,47,47,47,,47,47,47,,1,47,47,47,,1,47,47,47,,1
2,8/2/2019 17:00,48,48,48,,48,48,48,,1,48,48,48,,1,48,48,48,,1
2,8/2/2019 18:00,87,87,87,,87,87,87,,1,87,87,87,,1,87,87,87,,1
2,8/2/2019 19:00,26,26,26,,26,26,26,,1,26,26,26,,1,26,26,26,,1
2,8/2/2019 20:00,17,17,17,,17,17,17,,1,17,17,17,,1,17,17,17,,1
2,8/2/2019 21:00,14,14,14,,14,14,14,,1,14,14,14,,1,14,14,14,,1
2,8/2/2019 22:00,18,18,18,,18,18,18,,1,18,18,18,,1,18,18,18,,1
2,8/2/2019 23:00,10,10,10,,10,10,10,,1,10,10,10,,1,10,10,10,,1
2,8/3/2019 0:00,9,9,9,,9,9,9,,1,9,9,9,,1,9,9,9,,1
2,8/3/2019 1:00,5,5,5,,5,5,5,,1,5,5,5,,1,5,5,5,,1
2,8/3/2019 2:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/3/2019 3:00,5,5,5,,5,5,5,,1,5,5,5,,1,5,5,5,,1
2,8/3/2019 4:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/3/2019 5:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/3/2019 6:00,4,4,4,,4,4,4,,1,4,4,4,,1,4,4,4,,1
2,8/3/2019 7:00,13,13,13,,13,13,13,,1,13,13,13,,1,13,13,13,,1
2,8/3/2019 8:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/3/2019 9:00,11,11,11,,11,11,11,,1,11,11,11,,1,11,11,11,,1
2,8/3/2019 10:00,20,20,20,,20,20,20,,1,20,20,20,,1,20,20,20,,1
2,8/3/2019 11:00,14,14,14,,14,14,14,,1,14,14,14,,1,14,14,14,,1
2,8/3/2019 12:00,34,34,34,,34,34,34,,1,34,34,34,,1,34,34,34,,1
2,8/3/2019 13:00,31,31,31,,31,31,31,,1,31,31,31,,1,31,31,31,,1
2,8/3/2019 14:00,27,27,27,,27,27,27,,1,27,27,27,,1,27,27,27,,1
2,8/3/2019 15:00,48,48,48,,48,48,48,,1,48,48,48,,1,48,48,48,,1
2,8/3/2019 16:00,38,38,38,,38,38,38,,1,38,38,38,,1,38,38,38,,1
2,8/3/2019 17:00,37,37,37,,37,37,37,,1,37,37,37,,1,37,37,37,,1
2,8/3/2019 18:00,41,41,41,,41,41,41,,1,41,41,41,,1,41,41,41,,1
2,8/3/2019 19:00,19,19,19,,19,19,19,,1,19,19,19,,1,19,19,19,,1
2,8/3/2019 20:00,26,26,26,,26,26,26,,1,26,26,26,,1,26,26,26,,1
2,8/3/2019 21:00,14,14,14,,14,14,14,,1,14,14,14,,1,14,14,14,,1
2,8/3/2019 22:00,11,11,11,,11,11,11,,1,11,11,11,,1,11,11,11,,1
2,8/3/2019 23:00,11,11,11,,11,11,11,,1,11,11,11,,1,11,11,11,,1
2,8/4/2019 0:00,14,14,14,,14,14,14,,1,14,14,14,,1,14,14,14,,1
2,8/4/2019 1:00,9,9,9,,9,9,9,,1,9,9,9,,1,9,9,9,,1
2,8/4/2019 2:00,9,9,9,,9,9,9,,1,9,9,9,,1,9,9,9,,1
2,8/4/2019 3:00,2,2,2,,2,2,2,,1,2,2,2,,1,2,2,2,,1
2,8/4/2019 4:00,3,3,3,,3,3,3,,1,3,3,3,,1,3,3,3,,1
2,8/4/2019 5:00,2,2,2,,2,2,2,,1,2,2,2,,1,2,2,2,,1
2,8/4/2019 6:00,2,2,2,,2,2,2,,1,2,2,2,,1,2,2,2,,1
2,8/4/2019 7:00,6,6,6,,6,6,6,,1,6,6,6,,1,6,6,6,,1
2,8/4/2019 8:00,6,6,6,,6,6,6,,1,6,6,6,,1,6,6,6,,1
2,8/4/2019 9:00,9,9,9,,9,9,9,,1,9,9,9,,1,9,9,9,,1
2,8/4/2019 10:00,16,16,16,,16,16,16,,1,16,16,16,,1,16,16,16,,1
2,8/4/2019 11:00,18,18,18,,18,18,18,,1,18,18,18,,1,18,18,18,,1
2,8/4/2019 12:00,35,35,35,,35,35,35,,1,35,35,35,,1,35,35,35,,1
2,8/4/2019 13:00,30,30,30,,30,30,30,,1,30,30,30,,1,30,30,30,,1
2,8/4/2019 14:00,37,37,37,,37,37,37,,1,37,37,37,,1,37,37,37,,1
2,8/4/2019 15:00,44,44,44,,44,44,44,,1,44,44,44,,1,44,44,44,,1
2,8/4/2019 16:00,37,37,37,,37,37,37,,1,37,37,37,,1,37,37,37,,1
2,8/4/2019 17:00,38,38,38,,38,38,38,,1,38,38,38,,1,38,38,38,,1
2,8/4/2019 18:00,21,21,21,,21,21,21,,1,21,21,21,,1,21,21,21,,1
2,8/4/2019 19:00,29,29,29,,29,29,29,,1,29,29,29,,1,29,29,29,,1
2,8/4/2019 20:00,15,15,15,,15,15,15,,1,15,15,15,,1,15,15,15,,1
2,8/4/2019 21:00,17,17,17,,17,17,17,,1,17,17,17,,1,17,17,17,,1
2,8/4/2019 22:00,13,13,13,,13,13,13,,1,13,13,13,,1,13,13,13,,1
2,8/4/2019 23:00,17,17,17,,17,17,17,,1,17,17,17,,1,17,17,17,,1
2,8/5/2019 0:00,17,17,17,,17,17,17,,1,17,17,17,,1,17,17,17,,1
2,8/5/2019 1:00,4,4,4,,4,4,4,,1,4,4,4,,1,4,4,4,,1
2,8/5/2019 2:00,2,2,2,,2,2,2,,1,2,2,2,,1,2,2,2,,1
2,8/5/2019 3:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/5/2019 4:00,0,0,0,,0,0,0,,1,0,0,0,,1,0,0,0,,1
2,8/5/2019 5:00,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1
2,8/5/2019 6:00,15,15,15,,15,15,15,,1,15,15,15,,1,15,15,15,,1
2,8/5/2019 7:00,19,19,19,,19,19,19,,1,19,19,19,,1,19,19,19,,1
2,8/5/2019 8:00,55,55,55,,55,55,55,,1,55,55,55,,1,55,55,55,,1
2,8/5/2019 9:00,42,42,42,,42,42,42,,1,42,42,42,,1,42,42,42,,1
2,8/5/2019 10:00,19,19,19,,19,19,19,,1,19,19,19,,1,19,19,19,,1
2,8/5/2019 11:00,26,26,26,,26,26,26,,1,26,26,26,,1,26,26,26,,1
2,8/5/2019 12:00,42,42,42,,42,42,42,,1,42,42,42,,1,42,42,42,,1
2,8/5/2019 13:00,19,19,19,,19,19,19,,1,19,19,19,,1,19,19,19,,1
2,8/5/2019 14:00,32,32,32,,32,32,32,,1,32,32,32,,1,32,32,32,,1
2,8/5/2019 15:00,39,39,39,,39,39,39,,1,39,39,39,,1,39,39,39,,1
2,8/5/2019 16:00,67,67,67,,67,67,67,,1,67,67,67,,1,67,67,67,,1
2,8/5/2019 17:00,86,86,86,,86,86,86,,1,86,86,86,,1,86,86,86,,1
2,8/5/2019 18:00,115,115,115,,115,115,115,,1,115,115,115,,1,115,115,115,,1
