1,IN,Machelen Cyclists rich. Brucargo
1,OUT,Machelen Cyclists richting Machelen
2,IN,Brasschaat 2 Fietsers rich Merksem
2,OUT,Brasschaat 2 Fietsers rich Brasschaat
3,IN,Brasschaat 1 Fietsers rich Merksem
3,OUT,Brasschaat 1 Fietsers rich Brasschaat
4,IN,Balen 1 Fietsers rich Leopoldsburg
4,OUT,Balen 1 Fietsers rich Balen
5,IN,Balen 2 Fietsers rich Balen
5,OUT,Balen 2 Fietsers rich Leopoldsburg
6,IN,Evergem 2 Fietsers rich Wondelgem
10,OUT,Aalst_2 Fietser rich Aalst
19,OUT,Aalst 1 fietser erpe mere / Aalst 1 fietser Erpe Mere
20,IN,Brugge Fietsers rich Brugge
20,OUT,Brugge Fietsers rich Loppem
21,IN,Bilzen Fietsers rich. Hoeselt
21,OUT,Bilzen Fietsers rich. Bilzen
22,IN,Tienen 2 Fietsers rich Sint-Truiden
22,OUT,Tienen 2 Fietsers rich Boutersem
23,IN,Tienen 3 Fietsers rich Sint-Truiden
23,OUT,Tienen 3 Fietsers rich Boutersem
24,IN,Tienen 1 Fietsers rich Glabbeek
24,OUT,Tienen 1 Fietsers rich Tienen
25,IN,Bree Fietsers rich. Bree
25,OUT,Bree Fietsers rich. Gruitrode
26,IN,Zaventem fietser Brussel
26,OUT,Zaventem fietser Zaventem
27,IN,Grimbergen Fietser Brussel
27,OUT,Grimbergen Fietser Meise
28,IN,Heers teller 2 Fietser Borgloon
28,OUT,Heers teller 2 Fietser Heers centrum
29,IN,Tongeren Fietser Lanaken
29,OUT,Tongeren Fietser Tongeren
30,IN,Herk De Stad teller 1 Fietser Herk De Stad
30,OUT,Herk De Stad teller 1 Fietser Hasselt
31,IN,Herk De Stad teller 2 Fietser Herk De Stad
31,OUT,Herk De Stad teller 2 Fietser Hasselt
7,IN/OUT,Evergem_1 [Debug]
32,IN,Lummen teller 1 Fietser Lummen
32,OUT,Lummen teller 1 Fietser Hasselt
33,IN,Lummen teller 2 Fietser Lummen
33,OUT,Lummen teller 2 Fietser Hasselt
34,IN,Heers_1 [Bike Borgloon] / Heers teller 1 Fietser Borgloon
34,OUT,Heers_1 [Bike Heers centrum] / Heers teller 1 Fietser Heers centrum
34,IN/OUT,Heers_1 [Debug]
35,IN,Lanaken teller 1 Fietser Riemst
35,OUT,Lanaken teller 1 Fietser Lanaken
36,IN,Lanaken teller 2 Fietser Riemst
36,OUT,Lanaken teller 2 Fietser Lanaken
37,IN,Lommel teller 1 Fietser Lommel
37,OUT,Lommel teller 1 Fietser Mol
38,IN,Lommel teller 2 Fietser Lommel
144,OUT,test leuven [Bike test]
145,IN,Overijse Fietser IN
6,OUT,Evergem 2 Fietsers rich Hulleken
7,IN,Evergem_1 [Bike IN] / Evergem 1 Fietsers rich Wondelgem
7,OUT,Evergem_1 [Bike OUT] / Evergem 1 Fietsers rich Hulleken
8,IN,Heist op den Berg Fietsers rich Mechelen
8,OUT,Heist op den Berg Fietsers rich Heist op den Berg
9,IN,Heist op den Berg 2 Fietsers rich Mechelen
9,OUT,Heist op den Berg 2 Fietsers rich Heist op den Berg
10,IN,Aalst_2 Fietser rich Zurendries
11,IN,Aalst 3 Fietser rich Zurendries
11,OUT,Aalst 3 Fietser rich Aalst
12,IN,Tervuren Fietsers rich Brussel
12,OUT,Tervuren Fietsers rich Tervuren
13,IN,Gent Fietsers rich Drongen
13,OUT,Gent Fietsers rich Zwijnaarde
14,IN,Genk Fietsers rich Genk
14,OUT,Genk Fietsers rich Winterslag
15,IN,Oostende 2 Fietser rich. Gistel
15,OUT,Oostende 2 Fietser rich  Oostende
16,IN,Kortrijk 1 Fietsers rich Harelbeke
16,OUT,Kortrijk 1 Fietsers rich Kortrijk
17,IN,Kortrijk 2 Fietsers rich Harelbeke
17,OUT,Kortrijk 2 Fietsers rich Kortrijk
18,IN,Oostende 1 Fietsers rich. Oostende
18,OUT,Oostende 1 Fietsers rich. Gistel
19,IN,Aalst 1 fietser aalst / Aalst 1 fietser Aalst
38,OUT,Lommel teller 2 Fietser Mol
