site_id,bike_lane_width_m,bike_lane_source,has_cycleway
100046096,4.0,tier2:dedicated_path_width,True
100052862,7.0,tier4:wegenregister_with_cycleway,True
100052863,7.0,tier4:wegenregister_with_cycleway,True
100052864,6.0,tier4:wegenregister_with_cycleway,True
100052865,6.0,tier4:wegenregister_with_cycleway,True
100052866,6.0,tier4:wegenregister_with_cycleway,True
100052867,6.0,tier4:wegenregister_with_cycleway,True
100052868,7.0,tier4:wegenregister_with_cycleway,True
100052869,7.0,tier4:wegenregister_with_cycleway,True
100052870,2.0,tier2:dedicated_path_width,True
100052871,2.0,tier2:dedicated_path_width,True
100052872,2.0,tier1:explicit_cycleway_width,True
100052873,2.0,tier2:dedicated_path_width,True
100052874,2.0,tier2:dedicated_path_width,True
100052878,2.0,tier2:dedicated_path_width,True
100052879,1.5,tier2:dedicated_path_width,True
100052880,1.5,tier2:dedicated_path_width,True
100052881,2.0,tier2:dedicated_path_width,True
100052883,2.0,tier2:dedicated_path_width,True
100052884,1.5,tier2:dedicated_path_width,True
100052875,4.0,tier4:wegenregister_with_cycleway,True
100052876,2.0,tier2:dedicated_path_width,True
100052877,2.0,tier2:dedicated_path_width,True
100052882,2.0,tier2:dedicated_path_width,True
100056189,10.0,tier2:dedicated_path_width,True
300019223,,missing:has_cycleway_no_width,True
300019372,,missing:has_cycleway_no_width,True
300023447,1.8,tier2:dedicated_path_width,True
300023449,,missing:has_cycleway_no_width,True
300023450,2.5,tier2:dedicated_path_width,True
300023451,2.5,tier2:dedicated_path_width,True
300023452,6.0,tier3:shared_road_width_with_cycleway,True
300023453,6.0,tier3:shared_road_width_with_cycleway,True
300023486,1.8,tier2:dedicated_path_width,True
300023487,1.5,tier1:explicit_cycleway_width,True
300023488,1.5,tier1:explicit_cycleway_width,True
300023527,6.0,tier4:wegenregister_with_cycleway,True
300023528,6.0,tier4:wegenregister_with_cycleway,True
300023529,,missing:has_cycleway_no_width,True
300023530,7.0,tier4:wegenregister_with_cycleway,True
300023581,1.7,tier2:dedicated_path_width,True
300023582,1.7,tier2:dedicated_path_width,True
300023680,1.5,tier2:dedicated_path_width,True
300023682,1.5,tier2:dedicated_path_width,True
300023741,3.0,tier4:wegenregister_with_cycleway,True
300023743,6.0,tier4:wegenregister_with_cycleway,True
300024198,3.8,tier2:dedicated_path_width,True
300024443,1.7,tier2:dedicated_path_width,True
300024444,0.5,tier2:dedicated_path_width,True
300024454,8.0,tier4:wegenregister_with_cycleway,True
300024455,8.0,tier4:wegenregister_with_cycleway,True
300024459,6.0,tier4:wegenregister_with_cycleway,True
300024499,1.97,tier2:dedicated_path_width,True
300024500,1.97,tier2:dedicated_path_width,True
300024504,6.0,tier4:wegenregister_with_cycleway,True
300024505,6.0,tier4:wegenregister_with_cycleway,True
300024549,6.0,tier4:wegenregister_with_cycleway,True
300024550,6.0,tier4:wegenregister_with_cycleway,True
300024551,3.0,tier3:shared_road_width_with_cycleway,True
300024552,3.0,tier3:shared_road_width_with_cycleway,True
300024592,1.5,tier2:dedicated_path_width,True
300024594,1.5,tier2:dedicated_path_width,True
300025204,2.0,tier2:dedicated_path_width,True
300025205,2.0,tier2:dedicated_path_width,True
300025206,2.0,tier2:dedicated_path_width,True
300025380,2.0,tier2:dedicated_path_width,True
300025382,7.0,tier4:wegenregister_with_cycleway,True
300025383,7.0,tier4:wegenregister_with_cycleway,True
300025572,2.0,tier1:explicit_cycleway_width,True
300025573,1.0,tier2:dedicated_path_width,True
300025574,2.0,tier2:dedicated_path_width,True
300025575,3.0,tier3:shared_road_width_with_cycleway,True
300025576,3.0,tier3:shared_road_width_with_cycleway,True
300025577,13.0,tier4:wegenregister_with_cycleway,True
300025580,13.0,tier4:wegenregister_with_cycleway,True
300025592,3.0,tier2:dedicated_path_width,True
300025593,3.0,tier2:dedicated_path_width,True
300025808,7.0,tier4:wegenregister_with_cycleway,True
300025809,7.0,tier4:wegenregister_with_cycleway,True
300025810,2.5,tier2:dedicated_path_width,True
300025811,2.5,tier2:dedicated_path_width,True
300025812,1.0,tier2:dedicated_path_width,True
300025813,1.0,tier2:dedicated_path_width,True
300025814,3.0,tier2:dedicated_path_width,True
300025855,8.0,tier4:wegenregister_with_cycleway,True
300025856,8.0,tier4:wegenregister_with_cycleway,True
300025932,1.5,tier2:dedicated_path_width,True
300025933,1.0,tier2:dedicated_path_width,True
300025934,1.0,tier2:dedicated_path_width,True
300026025,1.6,tier2:dedicated_path_width,True
300026026,1.6,tier2:dedicated_path_width,True
