site_id,site_name,longitude,latitude,municipality,district_code,road_code,operator,interval_min,install_date,segment_id,road_name,morphology_en,road_category_code,road_category_en,access_en,geometry_method_en,manager_code,manager_label,length_m,dist_to_segment_m,bike_lane_width_m,has_cycleway,bike_lane_source,poi_shop_250m,poi_shop_500m,poi_shop_1000m,poi_education_250m,poi_education_500m,poi_education_1000m,poi_hotel_250m,poi_hotel_500m,poi_hotel_1000m,poi_hospital_250m,poi_hospital_500m,poi_hospital_1000m
100046096,Machelen,4.456121776137429,50.91618331151478,Machelen,AWV212,T2110002,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,662242,,cycleway_footpath,-9,not_applicable,public_road,surveyed,AWV212,District Vilvoorde-gewestwegen,847.57,2.878126601329217,4.0,True,tier2:dedicated_path_width,0,0,1,0,0,0,0,0,0,0,0,1
100052862,Brasschaat 2,4.47169,51.27512,Brasschaat,AWV123,N0010002,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,490758,Bredabaan,divided_road_non_motorway,IW,,public_road,surveyed,AWV123,District Brecht,398.76,7.577427321426361,7.0,True,tier4:wegenregister_with_cycleway,0,0,7,0,0,3,0,0,0,0,0,0
100052863,Brasschaat 1,4.47222,51.27503,Brasschaat,AWV123,N0010001,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,1146555,Bredabaan,divided_road_non_motorway,IW,,public_road,surveyed,AWV123,District Brecht,288.86,12.860851398583977,7.0,True,tier4:wegenregister_with_cycleway,0,0,4,0,0,3,0,0,0,0,0,0
100052864,Balen 1,5.19011,51.16023,Balen,AWV114,N0180002,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,381906,Schoor,single_carriageway,IW,,public_road,surveyed,AWV114,District Geel,254.23,3.5256105415706385,6.0,True,tier4:wegenregister_with_cycleway,1,2,5,0,0,1,0,0,0,0,0,0
100052865,Balen 2,5.19003,51.16018,Balen,AWV114,N0180002,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,381906,Schoor,single_carriageway,IW,,public_road,surveyed,AWV114,District Geel,254.23,4.312523119127889,6.0,True,tier4:wegenregister_with_cycleway,1,2,5,0,0,1,0,0,0,0,0,0
100052866,Evergem 2,3.70298,51.10894,Evergem,AWV413,N4560001,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,700574,Christoffelweg,single_carriageway,IW,,public_road,surveyed,AWV413,District Eeklo,320.63,2.992821209230744,6.0,True,tier4:wegenregister_with_cycleway,1,8,12,0,3,4,0,0,1,0,2,3
100052867,Evergem 1,3.70317,51.1089,Evergem,AWV413,N4560001,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,700574,Christoffelweg,single_carriageway,IW,,public_road,surveyed,AWV413,District Eeklo,320.63,8.067686618566535,6.0,True,tier4:wegenregister_with_cycleway,2,8,12,0,3,4,0,0,1,0,2,3
100052868,Heist op den Berg 1,4.68823,51.06759,Heist-op-den-Berg,AWV112,N0150001,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,487516,Mechelsesteenweg,single_carriageway,RW,,public_road,surveyed,AWV112,District Puurs,180.31,6.23275259415549,7.0,True,tier4:wegenregister_with_cycleway,1,2,13,2,2,2,0,1,1,0,2,4
100052869,Heist op den Berg 2,4.69524,51.06904,Heist-op-den-Berg,AWV112,N0150001,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,494135,Mechelsesteenweg,single_carriageway,RW,,public_road,surveyed,AWV112,District Puurs,147.62,4.21845109538269,7.0,True,tier4:wegenregister_with_cycleway,6,11,19,0,1,3,0,1,1,3,4,5
100052870,Aalst 2,4.01571,50.93549,Aalst,AWV415,R0410001,Vlaamse Overheid A. Wegen enVerkeer,15,2019-08-22,1059775,,cycleway_footpath,-9,not_applicable,public_road,surveyed,AWV415,District Aalst,236.99,0.8524557508652271,2.0,True,tier2:dedicated_path_width,3,6,32,0,1,7,0,0,1,1,1,5
