site_id,site_name,longitude,latitude,municipality,district_code,road_code,operator,interval_min,install_date,segment_id,road_name,morphology_en,road_category_code,road_category_en,access_en,geometry_method_en,manager_code,manager_label,length_m,dist_to_segment_m,bike_lane_width_m,has_cycleway,bike_lane_source,poi_shop_250m,poi_shop_500m,poi_shop_1000m,poi_education_250m,poi_education_500m,poi_education_1000m,poi_hotel_250m,poi_hotel_500m,poi_hotel_1000m,poi_hospital_250m,poi_hospital_500m,poi_hospital_1000m,sensor_age_days,install_year,bike_width_imputed
3677328,Naamsepoort,4.69857215,50.8686983,Leuven,AWV214,3677328,Unknown,60,,3677328,Naamsepoort,divided_road_non_motorway,RW,regional_road,public_road,surveyed,24062,Stad Leuven,17.76,0.0,6.0,True,osm_bike_network,28,49,102,1,88,161,0,1,6,1,5,20,0,2026,False
3677822,Erasme Ruelensvest,4.69857745,50.86860315,Leuven,AWV214,3677822,Unknown,60,,3677822,Erasme Ruelensvest,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,15.84,0.0,6.0,True,osm_bike_network,27,48,101,0,87,159,0,1,6,1,5,20,0,2026,False
3328914,Naamsesteenweg,4.698418455236046,50.86861465334733,Leuven,AWV214,3328914,Unknown,60,,3328914,Naamsesteenweg,divided_road_non_motorway,RW,regional_road,public_road,surveyed,24062,Stad Leuven,11.49,0.0,6.0,True,osm_bike_network,27,48,101,1,88,159,0,1,6,1,5,20,0,2026,False
3328699,Koning Leopold III-laan,4.692202549999999,50.856127400000005,Leuven,AWV214,3328699,Unknown,60,,3328699,Koning Leopold III-laan,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,25.15,0.0,5.0,True,osm_bike_network,3,9,29,1,2,11,0,0,3,0,3,9,0,2026,False
3450243,Middelweg,4.6922793,50.85601075,Leuven,AWV214,3450243,Unknown,60,,3450243,Middelweg,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,8.15,0.0,6.0,True,osm_bike_network,3,9,28,1,2,9,0,0,3,0,3,9,0,2026,False
1431560130,Unknown,4.692346649999999,50.85607020000001,Leuven,AWV214,1431560130,Unknown,60,,1431560130,Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,8.14,0.0,1.5,True,osm_bike_network,3,9,29,1,2,9,0,0,3,0,3,9,0,2026,False
1198558984,Koning Leopold III-laan,4.692453308976387,50.85594433282624,Leuven,AWV214,1198558984,Unknown,60,,1198558984,Koning Leopold III-laan,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,28.72,0.0,5.0,True,osm_bike_network,3,8,28,1,2,9,0,0,3,0,3,9,0,2026,False
3343965,Parkstraat,4.707698,50.869348650000006,Leuven,AWV214,3343965,Unknown,60,,3343965,Parkstraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,4.94,0.0,5.0,True,osm_bike_network,4,11,126,3,8,161,1,1,7,3,6,17,0,2026,False
3677823,Naamsevest,4.70696653056174,50.86916663172931,Leuven,AWV214,3677823,Unknown,60,,3677823,Naamsevest,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,112.28,0.0,6.0,True,osm_bike_network,5,12,124,2,7,163,1,1,8,3,7,19,0,2026,False
"[342997240, 3991778]",Parkpoort,4.707874328605108,50.86919819746121,Leuven,AWV214,"[342997240, 3991778]",Unknown,60,,"[342997240, 3991778]",Parkpoort,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,36.76,0.0,6.0,True,osm_bike_network,4,13,122,3,7,160,1,1,7,3,6,18,0,2026,False
439142857,Naamsestraat,4.699154849999999,50.8695746,Leuven,AWV214,439142857,Unknown,60,,439142857,Naamsestraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,10.81,0.0,5.0,True,osm_bike_network,27,46,127,13,95,173,0,2,8,1,6,23,0,2026,False
3358657,Elzasgang,4.698668081875138,50.86959595430924,Leuven,AWV214,3358657,Unknown,60,,3358657,Elzasgang,service_road,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,70.44,0.0,4.0,True,osm_bike_network,27,45,121,16,96,175,0,1,7,1,6,22,0,2026,False
"[608715571, 608715564, 608715566]",Naamsestraat,4.69920454085216,50.86980317098213,Leuven,AWV214,"[608715571, 608715564, 608715566]",Unknown,60,,"[608715571, 608715564, 608715566]",Naamsestraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,40.57,0.0,5.0,True,osm_bike_network,26,47,138,17,96,176,0,2,8,1,5,22,0,2026,False
608715568,Naamsestraat,4.699261736573839,50.87009960406013,Leuven,AWV214,608715568,Unknown,60,,608715568,Naamsestraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,25.83,0.0,5.0,True,osm_bike_network,25,46,148,23,104,180,0,2,9,2,5,22,0,2026,False
"[1063831514, 8131717]",Tiensevest,4.715712128029245,50.87748052825185,Leuven,AWV214,"[1063831514, 8131717]",Unknown,60,,"[1063831514, 8131717]",Tiensevest,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,65.24,0.0,6.0,True,osm_bike_network,0,60,415,2,9,70,0,6,18,0,7,31,0,2026,False
3343954,Blijde-Inkomststraat,4.7142861499999995,50.873790650000004,Leuven,AWV214,3343954,Unknown,60,,3343954,Blijde-Inkomststraat,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,8.27,0.0,5.0,True,osm_bike_network,20,41,331,0,17,77,1,2,15,1,3,26,0,2026,False
16775051,Tiensepoort,4.7143991,50.87371805000001,Leuven,AWV214,16775051,Unknown,60,,16775051,Tiensepoort,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,14.39,0.0,6.0,True,osm_bike_network,19,40,323,0,16,77,1,2,15,1,2,25,0,2026,False
16775171,Tiensepoort,4.7142925,50.87370675,Leuven,AWV214,16775171,Unknown,60,,16775171,Tiensepoort,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,13.67,0.0,6.0,True,osm_bike_network,19,41,325,0,16,77,1,2,15,1,4,26,0,2026,False
