site_id,siteno,longtitude,latitude,geometry,pop_1km,pop_5km,pop_10km
1,100046096,4.456121776137429,50.91618331151478,POINT (4.456121776137429 50.91618331151478),2754.79052734375,99128.390625,726663.75
2,100052862,4.47169,51.27512,POINT (4.47169 51.27512),1369.0830078125,165217.234375,590641.4375
3,100052863,4.47222,51.27503,POINT (4.47222 51.27503),1213.0382080078125,165126.484375,590422.6875
4,100052864,5.19011,51.16023,POINT (5.19011 51.16023),851.324462890625,27176.69140625,118754.5625
5,100052865,5.19003,51.16018,POINT (5.19003 51.16018),858.013427734375,27176.822265625,118752.1796875
6,100052866,3.70298,51.10894,POINT (3.70298 51.10894),4064.322998046875,87672.640625,335707.84375
7,100052867,3.70317,51.1089,POINT (3.70317 51.1089),4065.84765625,87924.4921875,335898.125
8,100052868,4.68823,51.06759,POINT (4.68823 51.06759),1692.64501953125,46467.21875,157606.125
9,100052869,4.69524,51.06904,POINT (4.69524 51.06904),2540.5791015625,44539.734375,158211.734375
10,100052870,4.01571,50.93549,POINT (4.01571 50.93549),6899.4228515625,107883.171875,240577.59375
11,100052871,4.01647,50.93385,POINT (4.01647 50.93385),5969.5869140625,107708.890625,241871.03125
12,100052872,4.47803,50.81896,POINT (4.47803 50.81896),1028.8160400390625,164199.734375,864482.8125
13,100052873,3.70146,51.03018,POINT (3.70146 51.03018),6484.0,207989.046875,378767.21875
14,100052874,5.48927,50.97172,POINT (5.48927 50.97172),7272.01953125,64483.08203125,157943.390625
15,100052878,2.92743,51.21371,POINT (2.92743 51.21371),10820.279296875,90540.3515625,130408.84375
16,100052879,3.27777,50.83332,POINT (3.27777 50.83332),12212.5888671875,114457.7734375,248913.90625
17,100052880,3.27773,50.83339,POINT (3.27773 50.83339),12148.0830078125,114447.421875,248957.8125
18,100052881,2.92765,51.21378,POINT (2.92765 51.21378),10756.125,90559.9609375,130414.1328125
19,100052883,4.01471,50.93433,POINT (4.01471 50.93433),5599.224609375,107763.71875,241206.21875
20,100052884,3.20048,51.17416,POINT (3.20048 51.17416),1228.48779296875,92244.7109375,180724.53125
